id,category,name,access_mode,auth,cadence,history,backfill_now,urgency,licence,status,url
open_repair_alliance,repair_failure,Open Repair Alliance aggregate,bulk_git,none,release-driven (check daily; ingest on release),"YES: releases in GitHub from 2019 through 2025; current aggregate 305,649 EEE rows",True,medium,CC BY-SA 4.0,enabled,https://openrepair.org/open-data/downloads/
restart_project,repair_failure,The Restart Project repair data,bulk_download,none,release-driven,YES: historical repair records available,True,low,CC BY-SA (verify release metadata),enabled,https://therestartproject.org/download-dataset/
ifixit,repair_knowledge,iFixit API,api,mostly none for GET; commercial use requires checking licence/terms,weekly for metadata; modifiedSince incremental where supported,PARTIAL: current guide corpus and modified metadata; not a market history,True,low,API/content terms; do not assume unrestricted commercial reuse,review_terms,https://www.ifixit.com/api/2.0/doc/
dvsa_mot_bulk,repair_failure,DVSA MOT History bulk + daily delta,bulk_api,OAuth2 client credentials + API key; registration required,daily delta after 08:00; Sunday bulk snapshot,YES: complete current history per vehicle; cars/motorcycles/vans GB from 2005; NI from 2017; some heavy vehicle data,True,medium,DVSA API terms / government data terms,credentials_needed,https://documentation.history.mot.api.gov.uk/mot-history-api/download-vehicle-mot-history-data/
opss_recalls,repair_failure,UK OPSS product recalls and safety alerts,feed_or_web,none,daily,YES: historical recall/alert pages searchable,True,medium,GOV.UK/OGL where stated; check third-party material,enabled_manual,https://www.gov.uk/product-safety-alerts-reports-recalls
uk_ev_ocpi,ev_infrastructure,UK public charge point OCPI feeds,multi_operator_api,varies by CPO; data must be public/free but access API keys may be used,30-60 seconds for EVSE status; reference/tariffs hourly/daily,NO mandated public history. Regulations explicitly say historical data need not be public. Archive now.,False,CRITICAL,Required open in line with OGL; API access terms may govern mechanics,enable_per_operator,https://www.gov.uk/government/publications/the-public-charge-point-regulations-2023-guidance/public-charge-point-regulations-2023-guidance
gridserve_ocpi,ev_infrastructure,GRIDSERVE Open Data API,api,ec-subscription-key; request subscription key,30-60 sec status if endpoint exposes live; reference hourly,Current state; no historical guarantee,False,high,PCPR open data + access terms,credentials_needed,https://www.gridserve.com/wp-content/uploads/2024/11/GRIDSERVE-PCPR-API-Developer-Documentation.pdf
monta_open_data,ev_infrastructure,Monta public open data,api,none/verify live endpoint policy,30-60 sec live; reference hourly,Current state; archive locally,False,high,PCPR/OCPI; verify endpoint terms,enabled_verify,https://public-api.monta.com/api/v1/open-data/locations
dft_ev_chargepoint_stats,ev_infrastructure,DfT public EV charging infrastructure statistics,bulk_csv,none,quarterly release,YES: historical quarterly tables/releases,True,low,OGL,enabled,https://www.gov.uk/government/collections/electric-vehicle-charging-infrastructure-statistics
dft_vehicle_licensing,ev_assets,DfT/DVLA vehicle licensing datafiles,bulk_csv,none,quarterly/annual by table,YES: make/model stock by quarter GB from 1994 Q4; multiple other historical files,True,low,OGL,enabled,https://www.gov.uk/government/statistical-data-sets/vehicle-licensing-statistics-data-files
ozev_chargepoint_models,ev_assets,OZEV approved chargepoint models,ods_download,none,weekly check / release-driven,Current list; historical snapshots may require archive,True,medium,GOV.UK/OGL where stated,enabled,https://www.gov.uk/government/publications/electric-vehicle-homecharge-scheme-approved-chargepoint-model-list
ozev_installers,services,OZEV chargepoint installer finder,public_search,none,weekly,No bulk historical API found; snapshot if terms permit,False,medium,GOV.UK page; reuse terms need review,manual_or_terms_review,https://www.gov.uk/electric-vehicle-chargepoint-installers
cec_solar_equipment,solar_energy,California Energy Commission Solar Equipment Lists,excel_download,none,"3x/month (typically 1st, 11th, 21st)","YES/PARTIAL: archived equipment lists including PV modules, inverters, batteries; snapshot active lists going forward",True,medium,State of California terms; factual equipment data; preserve source,enabled,https://www.energy.ca.gov/programs-and-topics/programs/solar-equipment-lists
mcs_product_directory,solar_energy,MCS Product Directory,public_directory,none for public search; no bulk API confirmed,weekly/manual until machine interface confirmed,Unknown,False,medium,MCS terms,discover_api,https://mcscertified.com/product-directory/
pvlive,solar_energy,Sheffield Solar PV_Live API,api,none,5 min latest + daily correction + monthly historical reconciliation if mirroring precisely,YES: API docs state 2010-01-01 to present; capacity releases retained,True,low,Check dataset licence/attribution; API package GPL-3 is software licence,enabled,https://api0.solar.sheffield.ac.uk/pvlive/gdocs
pvgis,solar_energy,PVGIS,api,none,on-demand / annual refresh,YES/modelled; backfillable anytime,True,none,EU/JRC terms; preserve attribution,enabled,https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis_en
uk_solar_pv_costs,solar_energy,DESNZ solar PV cost data,bulk_csv/xlsx,none,annual/release-driven,YES: historic cost series,True,low,OGL,enabled,https://www.gov.uk/government/statistics/solar-pv-cost-data
uk_battery_installations,solar_energy,MCS-certified domestic battery installation statistics,bulk_download,none,annual/release-driven,YES: currently from 2024 onward,True,low,OGL,enabled,https://www.gov.uk/government/statistics/mcs-certified-domestic-battery-installation-statistics
repd,solar_energy,Renewable Energy Planning Database,bulk_csv/xlsx,none,quarterly,YES/PARTIAL: quarterly release history; current extract contains project lifecycle fields,True,low,OGL,enabled,https://www.gov.uk/government/publications/renewable-energy-planning-database-quarterly-extract
epc_england_wales,built_environment,Energy Performance of Buildings data,bulk_csv+api,GOV.UK One Login/account for downloads/API,monthly/periodic refresh,YES: certificates since 2012 incl expired/replaced,True,low,OGL subject to terms/data protection,credentials_needed,https://epc.opendatacommunities.org/
octopus_tariffs,energy_prices,Octopus Energy public product/tariff REST API,api,none for products/tariffs; customer data needs API key,daily for Agile; on-demand for history,YES: available_at/tariffs_active_at and historical unit-rate URLs,True,low,Octopus API terms,enabled,https://docs.octopus.energy/rest/guides/endpoints/
elexon_insights,energy_prices,Elexon Insights Solution API,api,none,5-30 min depending endpoint; daily archival sufficient for many PTech uses,YES: broad historical BMRS/Insights datasets,True,low-medium,Elexon terms/open data terms,enabled,https://developer.data.elexon.co.uk/
neso_data_portal,energy_grid,NESO Data Portal,CKAN/api/bulk,none for public datasets,source-dependent (daily to monthly),YES for many datasets,True,low,"dataset-specific, often open",enabled_discovery,https://www.neso.energy/data-portal
mouser,parts_supply,Mouser Search API,api,API key,daily for promoted MPN panel; weekly for long-tail,NO native historical price/stock; snapshot now,False,high,Mouser API terms,credentials_needed,https://www.mouser.com/api-search/
digikey,parts_supply,DigiKey Product Information API,api,OAuth client ID/secret,daily for promoted MPN panel,NO native historical price/stock; snapshot now,False,high,DigiKey API terms,credentials_needed,https://developer.digikey.com/products/product-information-v4
element14_farnell,parts_supply,element14/Farnell Product Search API,api,API key,daily promoted panel,NO guaranteed historical price/stock; snapshot now,False,high,element14 API terms,credentials_needed,https://partner.element14.com/docs/Product_Search_API_REST__Description
rs_components,parts_supply,RS Components developer API,api,developer registration/key,daily promoted panel,NO guaranteed historical stock/price; snapshot now,False,high,RS API terms,credentials_needed_verify,https://api-portal.rs-online.com/
nexar_octopart,parts_supply,Nexar/Octopart GraphQL,api,OAuth/API credentials,spot enrichment unless paid tier,Limited/evaluation; not a broad free archive,False,low,Nexar terms,limited_free,https://nexar.com/api
blender_open_data,compute_hardware,Blender Open Data,bulk/query,none,daily raw snapshot or weekly,YES: 300k+ public benchmark submissions; raw snapshots/query exports,True,low,Open data terms; verify dataset licence metadata,enabled,https://opendata.blender.org/
mlperf,compute_hardware,MLCommons MLPerf results,git,none,release-driven / weekly git pull,YES: versioned result repositories across releases,True,low,Repository/data-specific open licences,enabled,https://github.com/mlcommons/inference
pci_ids,compute_hardware,PCI ID Repository,git,none,daily/weekly git pull,YES: full Git history,True,low,GPL-2+ or BSD 3-clause options,enabled,https://github.com/pciutils/pciids
hwdata,compute_hardware,hwdata,git,none,weekly,YES: Git history,True,low,Repository licence,enabled,https://github.com/vcrhonek/hwdata
bambu_profiles,fabrication,Bambu Studio machine/vendor profiles,git,none,weekly,YES: Git history,True,low,Repository licence,enabled,https://github.com/bambulab/BambuStudio
prusa_profiles,fabrication,PrusaSlicer vendor profiles,git,none,weekly,YES: Git history,True,low,Repository licence,enabled,https://github.com/prusa3d/PrusaSlicer-settings
marlin_configs,fabrication,Marlin Configuration repository,git,none,weekly,YES: Git history/version branches,True,low,GPL-3.0,enabled,https://github.com/MarlinFirmware/Configurations
cura_profiles,fabrication,Ultimaker Cura printer definitions,git,none,weekly,YES: Git history,True,low,Repository licence,enabled,https://github.com/Ultimaker/Cura
energy_star_products,product_identity,ENERGY STAR certified product datasets,Socrata API/CSV,none for normal public API use,daily/weekly,CURRENT + certification dates; historical coverage varies by dataset,True,medium,ENERGY STAR/data.gov terms,enabled,https://www.energystar.gov/productfinder/advanced
eprel,product_identity,EU EPREL,public_search,none,weekly/manual until bulk API confirmed,Current registered models; historical automation unclear,True,medium,EU portal terms,discover_api,https://eprel.ec.europa.eu/
companies_house_stream,business_services,Companies House Streaming API,http_stream,Companies House API key,continuous daemon,PARTIAL: resume via timepoint while retained; old cursors can expire. Start now.,False,CRITICAL,Companies House API terms/OGL where applicable,credentials_needed,https://developer-specs.company-information.service.gov.uk/streaming-api/guides/overview
companies_house_bulk,business_services,Companies House free company bulk snapshot,bulk_csv_zip,none,monthly,Current monthly snapshot; previous snapshots may not all be hosted,True,low,Companies House data terms/OGL where applicable,enabled,https://www.gov.uk/guidance/companies-house-data-products
companies_house_accounts,business_services,Companies House electronic accounts XBRL,bulk_zip_xbrl,none,daily Tue-Sat + monthly archive,YES: monthly historical archives for electronically filed accounts,True,low,Companies House data terms,enabled,https://www.gov.uk/guidance/companies-house-data-products
