id,category,subcategory,manufacturer,model_or_family,item_type,primary_source_url,source_price,source_currency,uk_eu_reference_url,uk_eu_reference_price_gbp,interface,voltage,key_spec,target_assets,evidence_status,priority,collect_daily,notes,landed_cost_status
RP001,motion,integrated_joint,Unitree,GO-M8010-6,integrated joint motor,https://shop.unitree.com/collections/accessories,369,USD,,,,,Unitree quadruped joint motor,Unitree Go-series,verified_current,P0,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP002,motion,integrated_joint,Unitree,A1 Motor,integrated joint motor,https://shop.unitree.com/collections/accessories,500,USD,,,,,OEM A1 motor,Unitree A1,verified_current,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP003,motion,integrated_joint,Unitree,B1 Motor,integrated joint motor,https://shop.unitree.com/collections/accessories,3000,USD,,,,,OEM B1 motor,Unitree B1,verified_current,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP004,motion,integrated_joint,Unitree,IM6014 Motor,integrated joint motor,https://shop.unitree.com/collections/accessories,,,,,,,,Unitree robot platforms,verified_identity_price_conflict,P1,yes,Official pages expose inconsistent starting prices; collector must preserve exact variant.,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP005,motion,integrated_joint,Unitree,SV1-25,servo actuator,https://shop.unitree.com/collections/accessories,229,USD,,,,,,Unitree / custom robots,verified_current,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP006,motion,integrated_joint,MYACTUATOR,RMD-X8-Pro 1:9 V2,planetary BLDC actuator,https://www.alibaba.com/wholesale/small-brushless-gear-motor.html,450,USD,https://uk.robotshop.com/products/my-actuator-rmd-x8-pro-v2-can-bus-bldc-actuator-w-19-reduction-mc-x-300-o-driver,390.47,CAN,24-48V,25 Nm peak on UK reference variant,"robot arms, mobile robots",verified_cross_market,P0,yes,China source observed $450-470; source_price stores low bound.,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP007,motion,integrated_joint,MYACTUATOR,RMD-X8 V2 1:9,planetary BLDC actuator,https://www.myactuator.com/downloads-xseries,,,https://uk.robotshop.com/products/my-actuator-rmd-x8-v2-can-bus-bldc-actuator-w-19-reduction-mc-x-300-o-driver,307.02,CAN,24-48V,9 Nm nominal,robot arms,verified_uk,P0,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP008,motion,integrated_joint,MYACTUATOR,RMD-X6 1:6,planetary BLDC actuator,https://www.myactuator.com/downloads-xseries,,,https://uk.robotshop.com/products/myactuator-rmd-x6-16-rs485,245.08,RS485,24-48V,7 Nm peak UK reference,robot arms/mobile robots,verified_uk,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP009,motion,integrated_joint,MYACTUATOR,RMD-X10 S2 1:35,planetary BLDC actuator,https://www.myactuator.com/downloads-xseries,,,https://uk.robotshop.com/products/myactuator-rmd-x10-s2-v3-bldc-can-bus-135mc-x-500-o-brushless-servo-driver,858.46,CAN/RS485,,100 Nm peak UK reference,robot arms,verified_uk,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP010,motion,integrated_joint,MYACTUATOR,RMD-L-9015-200-C,direct-drive BLDC servo,https://www.myactuator.com/downloads-xseries,,,https://uk.robotshop.com/products/myactuator-rmd-l-9015-35t-bldc-can-bus-servo,153.7,CAN,24V,5 Nm nominal,robot joints/wheels,verified_uk,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
